hora_minuto,dia_mes_ano.x,irradiacao,temperatura,preciptacao,pm1_massa,pm2_massa,pm4_massa,pm10_massa,pm1_concentracao,pm2_concentracao,pm4_concentracao,pm10_concentracao,concentracao_media,vento_dir,vento_vel,dia_mes_ano.y,IRR,I_AC,V_AC,P_AC,I_DC,V_DC,P_DC
100000,20191105,967.64,34.95,0,5.45,0.18,0,0,44.96,0.12,0,0,0.43,85,0,20191105,1001.73,33.76,218.98,7309.2,14.66,516.8,7576.29
101500,20191105,1002.09,35.45,0,5.29,0.18,0,0,43.67,0.12,0,0,0.42,143.67,0,20191105,1018,34.75,219.03,7578.13,15.35,504.29,7740.85
104500,20191105,624.46,35.26,0,5.57,0.18,0,0,45.92,0.13,0,0,0.43,80,0,20191105,1073.47,35.56,219.65,7764.73,15.82,504.47,7980.72
110000,20191105,969.6,36.1,0,5.79,0.19,0,0,47.81,0.13,0,0,0.43,186.67,0,20191105,1008.33,33.95,215.41,7342.87,14.69,501.87,7372.47
111500,20191105,945.68,35.41,0,6.18,0.21,0,0,50.98,0.14,0,0,0.43,176.07,0,20191105,1099.27,37.24,218.45,8129.8,16.88,491.78,8301.25
113000,20191105,1096.54,35.42,0,6.11,0.2,0,0,50.38,0.14,0,0,0.42,149.67,0,20191105,761.27,26.18,216.53,5711,11.71,488.18,5716.59
114500,20191105,1050.75,35.99,0,7.08,0.24,0,0,58.42,0.16,0,0,0.42,200.67,0,20191105,755.07,26.3,215.95,5699.2,12.03,482.1,5799.66
123000,20191105,719.24,35.52,0,8.96,0.3,0,0,73.91,0.2,0,0,0.43,140.67,0,20191105,849.14,29.36,212.79,6223.86,13.45,471.37,6339.93
124500,20191105,705.39,36.33,0,10.04,0.34,0,0,82.84,0.23,0,0,0.41,45,0,20191105,744.2,26.39,211.53,5603.2,12.05,471.39,5680.25
130000,20191105,800.13,36.3,0,9.49,0.32,0,0,78.31,0.21,0,0,0.42,96,0,20191105,646.8,22.58,211.2,4776.4,10.27,472.23,4849.8
131500,20191105,846.18,36.26,0,10.1,0.34,0,0,83.32,0.23,0,0,0.42,146.67,0,20191105,613.27,23.19,208.38,4821.93,9.82,504.74,4956.55
