dia_mes_ano,hora_minuto,irradiacao,temperatura,preciptacao,pm1_massa,pm2_massa,pm4_massa,pm10_massa,pm1_concentracao,pm2_concentracao,pm4_concentracao,pm10_concentracao,concentracao_media,vento_dir,vento_vel,IRR,I_AC,V_AC,P_AC,I_DC,V_DC,P_DC
20191008,051500,2.47,19.1,0,2.33,0.08,0,0,19.23,0.05,0,0,0.46,102,7.09,7.67,0.17,219.01,27.87,0.12,475.46,57.06
20191008,053000,13.29,19.14,0,2.37,0.08,0,0,19.53,0.05,0,0,0.45,90,7,19.4,0.64,218.23,138.4,0.31,515.25,159.73
20191008,054500,20.43,19.27,0,2.39,0.08,0,0,19.71,0.05,0,0,0.45,117,3.37,27.8,1.02,216.81,218.47,0.47,523.61,246.1
20191008,060000,27.44,19.28,0,2.6,0.09,0,0,21.44,0.06,0,0,0.46,150,2.48,32.33,1.25,217.61,268.8,0.55,533.41,293.38
20191008,061500,35.63,19.32,0,2.6,0.09,0,0,21.42,0.06,0,0,0.47,126,3.9,34.4,1.44,216.01,307,0.61,539.78,329.27
20191008,063000,90.89,19.8,0,2.73,0.09,0,0,22.54,0.06,0,0,0.45,120,3.1,83.4,3.71,217.93,806.07,1.48,559.55,828.13
20191008,064500,119.98,20.24,0,3.12,0.1,0,0,25.75,0.07,0,0,0.46,117,5.5,106.6,4.89,217.58,1063.93,1.92,564.55,1083.94
20191008,070000,167.97,20.73,0,3.2,0.11,0,0,26.38,0.07,0,0,0.46,87,9.04,153.2,7.02,217.94,1530.6,2.71,570.66,1546.49
20191008,071500,263.82,21.6,0,2.75,0.09,0,0,22.71,0.06,0,0,0.46,81,11.53,252.87,11.16,218.42,2429.53,4.35,568.65,2473.63
20191008,073000,369.33,22.75,0,2.62,0.09,0,0,21.56,0.06,0,0,0.45,90,16.76,363.67,16.12,217.09,3502.73,6.19,569.77,3526.88
20191008,074500,303.22,22.4,0,2.73,0.09,0,0,22.55,0.06,0,0,0.46,96,13.39,289.47,13.24,216.37,2863.07,5.1,566.33,2888.28
20191008,080000,304.81,23.02,0,3.01,0.1,0,0,24.83,0.07,0,0,0.44,105,11.26,300.33,13.85,215.13,2975.73,5.29,566.53,2996.94
20191008,081500,275.86,23.16,0,3.05,0.1,0,0,25.19,0.07,0,0,0.46,111,12.32,279,12.66,215.37,2729.33,4.88,565.03,2757.35
20191008,083000,204.07,22.73,0,3.54,0.12,0,0,29.18,0.08,0,0,0.44,81,16.05,219.13,9.92,213.28,2114.4,3.78,565.91,2139.14
20191008,084500,140.87,22.64,0,4.16,0.14,0,0,34.35,0.1,0,0,0.43,75,12.24,151.67,6.86,213.97,1465.87,2.66,559.07,1487.13
20191008,090000,156.34,22.88,0,4.47,0.15,0,0,36.88,0.1,0,0,0.45,93,8.51,151,7.16,215.67,1552.13,2.78,564.23,1568.56
20191008,091500,212.53,23.2,0,4.14,0.14,0,0,34.18,0.09,0,0,0.44,96,6.74,194.93,9.52,214.89,2044.93,3.61,574.58,2074.23
20191008,093000,305.74,23.85,0,4.01,0.13,0,0,33.06,0.09,0,0,0.44,78,14.72,287.07,13.5,216.94,2921.53,5.2,570.49,2966.55
