dia_mes_ano,hora_minuto,irr,temp,rainfall,massaPM1,massaPM2,massaPM4,massaPM10,numPM1,numPM2,numPM4,numPM10,tamanho_medio,vento_dir,vento_vel,IRR,I_AC,V_AC,P_AC,I_DC,V_DC,P_DC
20191102,050000,2.14,22.72,0,3.63,0.12,0,0,29.92,0.08,0,0,0.45,6,3.81,12.53,0.29,216.01,58.4,0.19,458.1,87.04
20191102,051500,35.98,24.33,0,3.23,0.11,0,0,26.67,0.07,0,0,0.46,95.71,1.71,26.13,0.78,215.75,164.87,0.4,478.12,191.25
20191102,053000,76.06,26.73,0,3.14,0.1,0,0,25.9,0.07,0,0,0.45,42,0.89,46.33,1.54,217.41,332.87,0.69,518.44,357.72
20191102,054500,124.2,28.93,0,3.12,0.1,0,0,25.76,0.07,0,0,0.44,39,0,81.33,2.85,216.16,613.93,1.21,529.44,640.62
20191102,061500,233.01,30.49,0,3.29,0.11,0,0,27.12,0.07,0,0,0.43,27,3.1,188.8,6.97,217.47,1515.2,2.92,529.56,1546.32
20191102,063000,290.15,30.2,0,3.37,0.11,0,0,27.77,0.08,0,0,0.43,52.33,7.63,252.33,9.65,216.87,2091.67,3.99,532.97,2126.55
20191102,064500,352.38,31.64,0,3.55,0.12,0,0,29.25,0.08,0,0,0.43,50.67,5.32,319.67,12.46,217.07,2702.27,5.19,529.49,2748.05
20191102,070000,407.18,33.02,0,4.34,0.14,0,0,35.8,0.1,0,0,0.42,73.33,5.41,384,14.37,217.85,3132.47,5.97,533.95,3187.68
20191102,071500,467.19,33.28,0,4.18,0.14,0,0,34.5,0.09,0,0,0.43,0,6.65,453,16.84,218.04,3671.6,7.39,506.12,3740.23
20191102,073000,530.46,32.74,0,3.66,0.12,0,0,30.18,0.08,0,0,0.43,6,10.37,519.73,19.34,217.88,4213.73,8.44,507.68,4284.82
20191102,074500,581.21,33.68,0,3.42,0.11,0,0,28.22,0.08,0,0,0.43,0,9.31,578.8,21.47,219.2,4706,9.42,508.74,4792.33
