dia_mes_ano,hora_minuto,irr,massaPM1,massaPM2,massaPM4,massaPM10,numPM1,numPM2,numPM4,numPM10,tamanho_medio,temp,vento_dir,vento_vel,rainfall
20200503,000300,0,6.38,0.21,0,0,52.62,0.14,0,0,0.46,20.69,135,2.66,0
20200503,000400,0,7.19,0.24,0,0,59.3,0.16,0,0,0.46,20.75,135,11.97,0
20200503,000500,0,7.61,0.25,0,0,62.76,0.17,0,0,0.44,20.56,180,3.99,0
20200503,000600,0,7.28,0.24,0,0,60.04,0.16,0,0,0.45,20.81,180,6.65,0
20200503,000700,0,6.96,0.23,0,0,57.45,0.16,0,0,0.46,20.62,90,11.97,0
20200503,000800,0,6.99,0.23,0,0,57.67,0.16,0,0,0.45,20.62,180,3.99,0
20200503,000900,0,7.02,0.23,0,0,57.94,0.16,0,0,0.47,20.62,180,6.65,0
20200503,001000,0,7.35,0.24,0,0,60.6,0.17,0,0,0.47,20.81,180,6.65,0
20200503,001100,0,6.52,0.22,0,0,53.83,0.15,0,0,0.47,20.56,135,9.31,0
20200503,001200,0,6.36,0.21,0,0,52.49,0.14,0,0,0.45,20.81,90,11.97,0
20200503,001300,0,6.86,0.23,0,0,56.62,0.16,0,0,0.46,20.81,135,15.96,0
20200503,001400,0,7.77,0.26,0,0,64.09,0.18,0,0,0.45,20.81,90,7.98,0
20200503,001500,0,7.3,0.24,0,0,60.25,0.17,0,0,0.46,20.94,90,9.31,0
20200503,001600,0,6.56,0.22,0,0,54.12,0.15,0,0,0.46,20.75,135,11.97,0
20200503,001700,0,6.93,0.23,0,0,57.14,0.16,0,0,0.48,20.56,135,3.99,0
20200503,001800,0,7.07,0.24,0,0,58.3,0.16,0,0,0.46,20.75,135,9.31,0
20200503,001900,0,7.2,0.24,0,0,59.36,0.16,0,0,0.47,20.69,135,7.98,0
20200503,002000,0,8.01,0.27,0,0,66.09,0.18,0,0,0.45,20.62,135,10.64,0
20200503,002100,0,7.95,0.26,0,0,65.62,0.18,0,0,0.45,20.56,135,7.98,0
20200503,002200,0,7.25,0.24,0,0,59.82,0.16,0,0,0.48,20.69,135,9.31,0
20200503,002300,0,8.12,0.27,0,0,67.03,0.18,0,0,0.46,20.88,135,3.99,0
20200503,002400,0,7.72,0.26,0,0,63.72,0.18,0,0,0.44,20.81,90,21.28,0
20200503,002500,0,8.21,0.27,0,0,67.7,0.19,0,0,0.45,20.88,135,14.63,0
20200503,002600,0,8.23,0.27,0,0,67.88,0.19,0,0,0.44,20.94,135,11.97,0
20200503,002700,0,7.7,0.26,0,0,63.5,0.17,0,0,0.47,20.81,135,13.3,0
20200503,002800,0,7.44,0.25,0,0,61.36,0.17,0,0,0.48,20.75,90,21.28,0
20200503,002900,0,7.79,0.26,0,0,64.3,0.18,0,0,0.46,20.75,135,6.65,0
20200503,003000,0,7.79,0.26,0,0,64.24,0.18,0,0,0.45,20.5,135,11.97,0
20200503,003100,0,7.96,0.26,0,0,65.64,0.18,0,0,0.46,20.25,135,7.98,0
20200503,003200,0,7.77,0.26,0,0,64.14,0.18,0,0,0.45,20.44,135,7.98,0
20200503,003300,0,7.96,0.26,0,0,65.65,0.18,0,0,0.45,20.56,90,27.93,0
20200503,003400,0,8.25,0.27,0,0,68.07,0.19,0,0,0.46,20.75,135,7.98,0
20200503,003500,0,7.89,0.26,0,0,65.09,0.18,0,0,0.46,20.81,90,13.3,0
20200503,003600,0,8.18,0.27,0,0,67.5,0.19,0,0,0.46,20.62,90,13.3,0
20200503,003700,0,7.73,0.26,0,0,63.78,0.18,0,0,0.47,20.75,135,14.63,0
20200503,003800,0,9.09,0.3,0,0,74.98,0.21,0,0,0.45,20.5,135,10.64,0
20200503,003900,0,8.55,0.28,0,0,70.5,0.19,0,0,0.45,20.38,90,11.97,0
20200503,004000,0,8.22,0.27,0,0,67.85,0.19,0,0,0.46,20.25,135,7.98,0
20200503,004100,0,8.5,0.28,0,0,70.14,0.19,0,0,0.48,20.38,135,2.66,0
20200503,004200,0,8.81,0.29,0,0,72.72,0.2,0,0,0.47,20.44,135,5.32,0
20200503,004300,0,8.84,0.29,0,0,72.96,0.2,0,0,0.47,20.25,90,5.32,0
20200503,004400,0,9.33,0.31,0,0,77.02,0.21,0,0,0.46,20.19,135,5.32,0
20200503,004500,0,9.1,0.3,0,0,75.06,0.21,0,0,0.49,20.25,135,7.98,0
20200503,004600,0,9.56,0.32,0,0,78.85,0.22,0,0,0.49,20.12,135,1.33,0
20200503,004700,0,10.71,0.36,0,0,88.36,0.24,0,0,0.46,20.06,135,5.32,0
20200503,004800,0,11.68,0.39,0,0,96.35,0.26,0,0,0.49,20.44,90,11.97,0
20200503,004900,0,11.41,0.38,0,0,94.13,0.26,0,0,0.48,20.19,90,7.98,0
20200503,005000,0,11.05,0.37,0,0,91.19,0.25,0,0,0.47,20.19,135,0,0
20200503,005100,0,12.31,0.41,0,0,101.53,0.28,0,0,0.47,20.19,135,3.99,0
20200503,005200,0,12.3,0.41,0,0,101.5,0.28,0,0,0.48,20.31,90,10.64,0
20200503,005300,0,12.73,0.42,0,0,105,0.29,0,0,0.49,20.44,135,11.97,0
