dia_mes_ano,hora_minuto,irr,massaPM1,massaPM2,massaPM4,massaPM10,numPM1,numPM2,numPM4,numPM10,tamanho_medio,temp,vento_dir,vento_vel,rainfall
20191127,000100,0,1.79,0.06,0,0,14.77,0.04,0,0,0.44,25.12,0,17.29,0
20191127,000200,0,2.05,0.07,0,0,16.93,0.05,0,0,0.44,25.19,0,13.3,0.5
20191127,000300,0,1.56,0.05,0,0,12.86,0.04,0,0,0.45,25.12,0,21.28,0.5
20191127,000400,0,1.78,0.06,0,0,14.69,0.04,0,0,0.45,25.12,0,15.96,0.5
20191127,000500,0,1.88,0.06,0,0,15.48,0.04,0,0,0.45,25.12,0,14.63,0.5
20191127,000600,0,1.76,0.06,0,0,14.51,0.04,0,0,0.44,25.31,45,14.63,0.5
20191127,000700,0,1.87,0.06,0,0,15.42,0.04,0,0,0.44,25.31,0,15.96,0.75
20191127,000800,0,2.13,0.07,0,0,17.61,0.05,0,0,0.44,25.25,0,13.3,0.75
20191127,000900,0,2.04,0.07,0,0,16.85,0.05,0,0,0.45,25.19,90,13.3,1
20191127,001000,0,2.25,0.07,0,0,18.53,0.05,0,0,0.45,25.19,135,9.31,1
20191127,001100,0,1.89,0.06,0,0,15.59,0.04,0,0,0.46,25.12,0,6.65,1
20191127,001200,0,1.86,0.06,0,0,15.35,0.04,0,0,0.45,25.19,0,18.62,1
20191127,001300,0,1.7,0.06,0,0,14.05,0.04,0,0,0.44,25.31,0,18.62,1
20191127,001400,0,1.82,0.06,0,0,15.03,0.04,0,0,0.44,25.25,0,22.61,1
20191127,001500,0,1.61,0.05,0,0,13.25,0.04,0,0,0.43,25.31,0,13.3,1
20191127,001600,0,1.8,0.06,0,0,14.89,0.04,0,0,0.43,25.31,90,7.98,1
20191127,001700,0,1.67,0.06,0,0,13.79,0.04,0,0,0.45,25.19,0,18.62,1
20191127,001800,0,1.77,0.06,0,0,14.61,0.04,0,0,0.45,25.38,0,7.98,1.25
20191127,001900,0,1.29,0.04,0,0,10.61,0.03,0,0,0.44,25.25,270,27.93,1.25
20191127,002000,0,1.63,0.05,0,0,13.48,0.04,0,0,0.44,25.19,45,11.97,1.25
20191127,002100,0,1.89,0.06,0,0,15.58,0.04,0,0,0.44,25.31,0,19.95,1.25
20191127,002200,0,1.41,0.05,0,0,11.62,0.03,0,0,0.44,25.25,0,26.6,1.25
20191127,002300,0,1.73,0.06,0,0,14.26,0.04,0,0,0.45,25.31,0,23.94,1.5
20191127,002400,0,1.51,0.05,0,0,12.44,0.03,0,0,0.45,25.19,0,10.64,1.5
20191127,002500,0,1.78,0.06,0,0,14.67,0.04,0,0,0.45,25.12,0,17.29,1.5
20191127,002600,0,1.56,0.05,0,0,12.86,0.04,0,0,0.45,25.25,0,15.96,1.75
20191127,002700,0,1.65,0.05,0,0,13.58,0.04,0,0,0.43,25.25,270,23.94,2.5
20191127,002800,0,1.92,0.06,0,0,15.81,0.04,0,0,0.43,25.38,0,13.3,2.75
20191127,002900,0,1.5,0.05,0,0,12.37,0.03,0,0,0.44,25.19,0,15.96,2.75
20191127,003000,0,1.76,0.06,0,0,14.5,0.04,0,0,0.44,25.19,0,21.28,2.75
20191127,003100,0,1.86,0.06,0,0,15.35,0.04,0,0,0.44,25.19,0,10.64,2.75
20191127,003200,0,1.88,0.06,0,0,15.53,0.04,0,0,0.45,25.06,0,13.3,2.75
20191127,003300,0,1.94,0.06,0,0,15.99,0.04,0,0,0.44,25.12,0,21.28,2.75
20191127,003400,0,1.68,0.06,0,0,13.87,0.04,0,0,0.44,25.12,0,15.96,2.75
20191127,003500,0,1.6,0.05,0,0,13.22,0.04,0,0,0.44,25.12,0,15.96,2.75
20191127,003600,0,1.71,0.06,0,0,14.11,0.04,0,0,0.44,25.25,0,14.63,3.25
20191127,003700,0,1.68,0.06,0,0,13.9,0.04,0,0,0.44,25.19,45,15.96,3.75
20191127,003800,0,1.66,0.06,0,0,13.71,0.04,0,0,0.45,25.06,0,21.28,3.75
20191127,003900,0,1.57,0.05,0,0,12.97,0.04,0,0,0.45,25.06,0,7.98,3.75
20191127,004000,0,1.94,0.06,0,0,15.99,0.04,0,0,0.45,25.12,0,13.3,3.75
20191127,004100,0,1.16,0.04,0,0,9.58,0.03,0,0,0.46,25.19,0,11.97,3.75
20191127,004200,3.13,1.59,0.05,0,0,13.08,0.04,0,0,0.45,25.06,0,21.28,4.5
20191127,004300,0,1.55,0.05,0,0,12.78,0.04,0,0,0.44,25,0,11.97,4.5
20191127,004400,0,1.4,0.05,0,0,11.52,0.03,0,0,0.45,25.12,0,11.97,4.5
20191127,004500,0,1.43,0.05,0,0,11.81,0.03,0,0,0.45,25.12,0,21.28,4.5
20191127,004600,0,1.87,0.06,0,0,15.46,0.04,0,0,0.46,25.12,0,19.95,4.5
20191127,004700,0,1.75,0.06,0,0,14.46,0.04,0,0,0.45,25.12,0,21.28,5
20191127,004800,0,1.79,0.06,0,0,14.74,0.04,0,0,0.46,25.06,0,18.62,5.25
20191127,004900,0,1.76,0.06,0,0,14.49,0.04,0,0,0.46,25.06,0,10.64,5.25
20191127,005000,0,1.61,0.05,0,0,13.28,0.04,0,0,0.46,25.19,0,19.95,5.25
20191127,005100,0,1.62,0.05,0,0,13.4,0.04,0,0,0.45,25,0,5.32,5.25
20191127,005200,0,1.85,0.06,0,0,15.29,0.04,0,0,0.44,24.94,45,7.98,5.5
20191127,005300,0,1.4,0.05,0,0,11.54,0.03,0,0,0.44,24.88,0,11.97,5.5
20191127,005400,0,1.64,0.05,0,0,13.53,0.04,0,0,0.44,24.94,45,18.62,5.5
20191127,005500,0,1.68,0.06,0,0,13.89,0.04,0,0,0.44,24.81,0,13.3,5.5
20191127,005600,0,1.59,0.05,0,0,13.13,0.04,0,0,0.43,25,45,19.95,5.5
20191127,005700,0,1.72,0.06,0,0,14.15,0.04,0,0,0.44,24.94,0,15.96,5.5
20191127,005800,0,1.64,0.05,0,0,13.56,0.04,0,0,0.43,24.88,0,13.3,5.5
20191127,005900,0,1.65,0.05,0,0,13.58,0.04,0,0,0.43,24.81,335,0,5.75
20191127,010000,0,1.64,0.05,0,0,13.52,0.04,0,0,0.42,24.81,0,14.63,5.75
20191127,010100,0,1.48,0.05,0,0,12.2,0.03,0,0,0.43,25,0,21.28,5.75
20191127,010200,0,1.76,0.06,0,0,14.52,0.04,0,0,0.44,25,0,17.29,5.75
20191127,010300,0,1.78,0.06,0,0,14.65,0.04,0,0,0.44,24.94,270,10.64,6
20191127,010400,0,1.45,0.05,0,0,11.97,0.03,0,0,0.43,24.94,0,9.31,6
20191127,010500,0,1.76,0.06,0,0,14.5,0.04,0,0,0.43,24.88,0,25.27,6
20191127,010600,0,1.77,0.06,0,0,14.58,0.04,0,0,0.44,24.88,0,7.98,6
20191127,010700,0,1.61,0.05,0,0,13.26,0.04,0,0,0.46,24.81,0,6.65,6
20191127,010800,3.13,1.58,0.05,0,0,13.05,0.04,0,0,0.46,24.75,0,10.64,6
20191127,010900,0,1.57,0.05,0,0,12.98,0.04,0,0,0.47,24.81,0,6.65,6
20191127,011000,0,1.79,0.06,0,0,14.74,0.04,0,0,0.46,24.81,0,7.98,6.25
20191127,011100,0,1.9,0.06,0,0,15.71,0.04,0,0,0.46,24.88,270,11.97,6.25
20191127,011200,0,1.9,0.06,0,0,15.66,0.04,0,0,0.45,24.81,0,13.3,6.5
20191127,011300,0,1.67,0.06,0,0,13.76,0.04,0,0,0.45,24.94,0,7.98,6.5
20191127,011400,0,1.86,0.06,0,0,15.34,0.04,0,0,0.44,24.88,0,13.3,6.5
20191127,011500,0,1.88,0.06,0,0,15.51,0.04,0,0,0.43,24.69,0,0,6.5
20191127,011600,0,1.44,0.05,0,0,11.84,0.03,0,0,0.43,24.88,0,17.29,6.5
20191127,011700,0,1.75,0.06,0,0,14.44,0.04,0,0,0.43,25.06,0,17.29,6.75
20191127,011800,0,1.63,0.05,0,0,13.45,0.04,0,0,0.43,24.81,45,5.32,6.75
20191127,011900,0,1.39,0.05,0,0,11.47,0.03,0,0,0.42,24.75,0,10.64,6.75
20191127,012000,0,1.6,0.05,0,0,13.21,0.04,0,0,0.43,24.69,0,14.63,6.75
20191127,012100,0,1.7,0.06,0,0,14.07,0.04,0,0,0.43,24.75,0,10.64,6.75
20191127,012200,0,1.63,0.05,0,0,13.41,0.04,0,0,0.44,24.81,0,10.64,6.75
20191127,012300,0,1.52,0.05,0,0,12.56,0.03,0,0,0.44,24.94,0,15.96,6.75
20191127,012400,0,1.61,0.05,0,0,13.27,0.04,0,0,0.44,24.81,0,7.98,6.75
20191127,012500,0,1.58,0.05,0,0,13.02,0.04,0,0,0.44,24.75,0,23.94,6.75
20191127,012600,0,1.66,0.06,0,0,13.72,0.04,0,0,0.44,25,270,7.98,7
20191127,012700,0,1.48,0.05,0,0,12.18,0.03,0,0,0.44,24.81,0,11.97,7
20191127,012800,0,1.94,0.06,0,0,16,0.04,0,0,0.44,24.81,0,0,7
20191127,012900,0,1.91,0.06,0,0,15.77,0.04,0,0,0.44,25,0,14.63,7.5
20191127,013000,0,1.5,0.05,0,0,12.36,0.03,0,0,0.44,24.94,0,7.98,7.75
20191127,013100,0,1.76,0.06,0,0,14.52,0.04,0,0,0.44,24.88,90,18.62,7.75
20191127,013200,0,1.6,0.05,0,0,13.17,0.04,0,0,0.44,24.75,0,7.98,8
20191127,013300,0,1.37,0.05,0,0,11.28,0.03,0,0,0.44,24.75,0,15.96,8
20191127,013400,0,1.56,0.05,0,0,12.84,0.04,0,0,0.44,24.88,0,10.64,8
20191127,013500,0,1.83,0.06,0,0,15.09,0.04,0,0,0.43,24.75,0,13.3,8.25
20191127,013600,0,1.74,0.06,0,0,14.39,0.04,0,0,0.44,24.56,270,0,8.25
20191127,013700,0,1.51,0.05,0,0,12.42,0.03,0,0,0.44,24.69,0,0,8.25
20191127,013800,0,1.42,0.05,0,0,11.73,0.03,0,0,0.43,24.81,0,7.98,8.25
20191127,013900,0,1.6,0.05,0,0,13.22,0.04,0,0,0.43,24.69,0,0,8.25
20191127,014000,0,1.74,0.06,0,0,14.36,0.04,0,0,0.41,24.75,0,6.65,8.25
20191127,014100,0,1.6,0.05,0,0,13.23,0.04,0,0,0.42,24.62,0,0,8.25
20191127,014200,0,1.76,0.06,0,0,14.54,0.04,0,0,0.41,24.62,0,7.98,8.25
20191127,014300,0,1.64,0.05,0,0,13.57,0.04,0,0,0.42,24.5,0,6.65,8.25
20191127,014400,0,2.05,0.07,0,0,16.9,0.05,0,0,0.42,24.69,0,14.63,8.5
20191127,014500,0,1.48,0.05,0,0,12.25,0.03,0,0,0.42,24.62,270,10.64,8.5
20191127,014600,0,1.52,0.05,0,0,12.55,0.03,0,0,0.42,24.62,0,0,8.5
20191127,014700,0,1.27,0.04,0,0,10.45,0.03,0,0,0.41,24.5,0,3.99,8.5
20191127,014800,0,1.48,0.05,0,0,12.2,0.03,0,0,0.41,24.38,0,18.62,8.5
20191127,014900,0,1.73,0.06,0,0,14.3,0.04,0,0,0.41,24.38,0,3.99,8.75
20191127,015000,0,1.77,0.06,0,0,14.57,0.04,0,0,0.42,24.62,0,0,8.75
20191127,015100,0,1.35,0.05,0,0,11.16,0.03,0,0,0.43,24.44,45,11.97,8.75
20191127,015200,0,1.94,0.06,0,0,16.04,0.04,0,0,0.44,24.25,0,0,8.75
20191127,015300,0,1.71,0.06,0,0,14.15,0.04,0,0,0.44,24.38,0,0,8.75
20191127,015400,0,1.7,0.06,0,0,14.04,0.04,0,0,0.43,24.25,0,7.98,8.75
20191127,015500,0,1.62,0.05,0,0,13.34,0.04,0,0,0.43,24.44,90,9.31,9
20191127,015600,0,1.57,0.05,0,0,12.92,0.04,0,0,0.44,24.38,0,13.3,9.25
20191127,015700,0,1.63,0.05,0,0,13.45,0.04,0,0,0.43,24.38,0,13.3,9.25
20191127,015800,0,2.01,0.07,0,0,16.62,0.05,0,0,0.45,24.31,0,9.31,9.5
20191127,015900,0,1.72,0.06,0,0,14.2,0.04,0,0,0.44,24.19,0,0,9.5
20191127,020000,0,1.64,0.05,0,0,13.54,0.04,0,0,0.43,24.19,0,5.32,9.75
20191127,020100,0,1.72,0.06,0,0,14.21,0.04,0,0,0.43,24.06,270,0,10
20191127,020200,0,1.89,0.06,0,0,15.59,0.04,0,0,0.45,24.12,0,19.95,10
20191127,020300,0,1.77,0.06,0,0,14.61,0.04,0,0,0.45,24.19,0,5.32,10
20191127,020400,0,1.36,0.05,0,0,11.19,0.03,0,0,0.44,24.06,0,17.29,10.25
20191127,020500,0,1.36,0.05,0,0,11.21,0.03,0,0,0.44,24.19,0,5.32,10.25
20191127,020600,0,1.67,0.06,0,0,13.79,0.04,0,0,0.45,24.12,45,7.98,10.5
20191127,020700,0,1.48,0.05,0,0,12.24,0.03,0,0,0.45,24.12,0,15.96,10.75
20191127,020800,0,1.53,0.05,0,0,12.65,0.03,0,0,0.44,24.12,0,13.3,11
20191127,020900,0,1.27,0.04,0,0,10.5,0.03,0,0,0.43,24.19,270,10.64,11
20191127,021000,0,1.74,0.06,0,0,14.39,0.04,0,0,0.44,24.31,45,7.98,11
20191127,021100,0,1.7,0.06,0,0,13.99,0.04,0,0,0.45,24.12,335,18.62,11
20191127,021200,0,1.69,0.06,0,0,13.93,0.04,0,0,0.44,24.31,0,17.29,11
20191127,021300,0,1.54,0.05,0,0,12.7,0.03,0,0,0.45,24.25,45,13.3,11.25
20191127,021400,0,1.67,0.06,0,0,13.78,0.04,0,0,0.45,24.31,0,13.3,11.25
20191127,021500,0,1.8,0.06,0,0,14.81,0.04,0,0,0.44,24.12,0,7.98,11.75
20191127,021600,0,1.75,0.06,0,0,14.44,0.04,0,0,0.45,24.12,0,6.65,11.75
20191127,021700,0,1.95,0.06,0,0,16.11,0.04,0,0,0.44,24.12,45,10.64,12
20191127,021800,0,1.72,0.06,0,0,14.15,0.04,0,0,0.44,24.25,90,25.27,12
20191127,021900,0,1.96,0.07,0,0,16.19,0.04,0,0,0.45,24.25,0,21.28,12.25
20191127,022000,0,1.65,0.05,0,0,13.59,0.04,0,0,0.45,24.38,0,14.63,12.25
20191127,022100,0,1.71,0.06,0,0,14.1,0.04,0,0,0.45,24.31,45,3.99,12.25
20191127,022200,0,1.52,0.05,0,0,12.57,0.03,0,0,0.45,24.31,0,15.96,12.25
