dia_mes_ano,hora_minuto,irr,massaPM1,massaPM2,massaPM4,massaPM10,numPM1,numPM2,numPM4,numPM10,tamanho_medio,temp,vento_dir,vento_vel,rainfall
20200416,000100,0,2.72,0.09,0,0,22.48,0.06,0,0,0.52,12.75,135,14.63,0
20200416,000200,0,2.89,0.1,0,0,23.83,0.07,0,0,0.53,12.56,90,5.32,0
20200416,000300,0,2.75,0.09,0,0,22.7,0.06,0,0,0.51,12.5,135,14.63,0
20200416,000400,0,2.96,0.1,0,0,24.45,0.07,0,0,0.5,12.38,135,3.99,0
20200416,000500,0,2.93,0.1,0,0,24.18,0.07,0,0,0.48,12.31,135,5.32,0
20200416,000600,0,2.91,0.1,0,0,23.99,0.07,0,0,0.48,12.12,135,7.98,0
20200416,000700,0,2.84,0.09,0,0,23.4,0.06,0,0,0.47,12.06,135,9.31,0
20200416,000800,0,2.65,0.09,0,0,21.85,0.06,0,0,0.48,12.12,180,5.32,0
20200416,000900,0,3.47,0.12,0,0,28.63,0.08,0,0,0.49,12.12,135,7.98,0
20200416,001000,0,2.65,0.09,0,0,21.84,0.06,0,0,0.5,12.38,90,9.31,0
20200416,001100,0,2.77,0.09,0,0,22.82,0.06,0,0,0.5,12.38,135,9.31,0
20200416,001200,0,2.48,0.08,0,0,20.45,0.06,0,0,0.49,12.62,90,18.62,0
20200416,001300,0,2.44,0.08,0,0,20.09,0.06,0,0,0.48,12.31,135,7.98,0
20200416,001400,0,2.62,0.09,0,0,21.65,0.06,0,0,0.48,12.19,135,13.3,0
20200416,001500,0,2.94,0.1,0,0,24.24,0.07,0,0,0.48,12.19,45,18.62,0
20200416,001600,0,2.69,0.09,0,0,22.19,0.06,0,0,0.5,12.44,135,15.96,0
20200416,001700,0,2.77,0.09,0,0,22.87,0.06,0,0,0.51,12.19,90,11.97,0
20200416,001800,0,2.36,0.08,0,0,19.48,0.05,0,0,0.51,12.31,135,13.3,0
20200416,001900,0,2.46,0.08,0,0,20.31,0.06,0,0,0.52,12.06,135,10.64,0
20200416,002000,0,2.74,0.09,0,0,22.63,0.06,0,0,0.53,12,90,3.99,0
20200416,002100,0,2.69,0.09,0,0,22.21,0.06,0,0,0.51,12.06,135,11.97,0
20200416,002200,0,2.46,0.08,0,0,20.29,0.06,0,0,0.51,11.94,90,2.66,0
20200416,002300,0,2.92,0.1,0,0,24.11,0.07,0,0,0.49,11.75,135,9.31,0
20200416,002400,0,2.97,0.1,0,0,24.48,0.07,0,0,0.5,11.81,135,5.32,0
20200416,002500,0,2.95,0.1,0,0,24.36,0.07,0,0,0.49,11.81,135,0,0
20200416,002600,0,2.62,0.09,0,0,21.58,0.06,0,0,0.48,11.81,135,7.98,0
20200416,002700,0,3.13,0.1,0,0,25.79,0.07,0,0,0.5,12.06,135,11.97,0
