dia_mes_ano,hora_minuto,P_AC,I_AC,I_DC,V_AC,V_DC,IRR
20200408,000000,0,0,0,2.026313758755044e+44,44.7,0
20200408,000100,0,0,0,2.026313758755044e+44,44.7,0
20200408,000200,0,0,0,2.026313758755044e+44,44.7,0
20200408,000300,0,0,0,2.026313758755044e+44,44.7,0
20200408,000400,0,0,0,2.026313758755044e+44,44.7,0
20200408,000500,0,0,0,2.026313758755044e+44,44.8,0
20200408,000600,0,0,0,2.026313758755044e+44,44.8,0
20200408,000700,0,0,0,2.026313758755044e+44,45.3,0
20200408,000800,0,0,0,2.026313758755044e+44,45.3,0
20200408,000900,0,0,0,2.026313758755044e+44,45.5,0
20200408,001000,0,0,0,2.026313758755044e+44,45.5,0
20200408,001100,0,0,0,2.026313758755044e+44,45.5,0
20200408,001200,0,0,0,2.026313758755044e+44,45.5,0
20200408,001300,0,0,0,2.026313758755044e+44,46,0
20200408,001400,0,0,0,2.026313758755044e+44,46,0
20200408,001500,0,0,0,2.026313758755044e+44,46.2,0
20200408,001600,0,0,0,2.026313758755044e+44,46.2,0
20200408,001700,0,0,0,2.026313758755044e+44,46.6,0
20200408,001800,0,0,0,2.026313758755044e+44,46.6,0
20200408,001900,0,0,0,2.026313758755044e+44,46.6,0
20200408,002000,0,0,0,2.026313758755044e+44,46.5,0
20200408,002100,0,0,0,2.026313758755044e+44,46.5,0
20200408,002200,0,0,0,2.026313758755044e+44,46.3,0
20200408,002300,0,0,0,2.026313758755044e+44,46.2,0
20200408,002400,0,0,0,2.026313758755044e+44,46.1,0
20200408,002500,0,0,0,2.026313758755044e+44,46.1,0
20200408,002600,0,0,0,2.026313758755044e+44,46.2,0
20200408,002700,0,0,0,2.026313758755044e+44,46.2,0
20200408,002800,0,0,0,2.026313758755044e+44,45.9,0
20200408,002900,0,0,0,2.026313758755044e+44,46,0
20200408,003000,0,0,0,2.026313758755044e+44,46,0
20200408,003100,0,0,0,2.026313758755044e+44,46.2,0
20200408,003200,0,0,0,2.026313758755044e+44,46.3,0
20200408,003300,0,0,0,2.026313758755044e+44,46.3,0
20200408,003400,0,0,0,2.026313758755044e+44,46,0
20200408,003500,0,0,0,2.026313758755044e+44,46,0
20200408,003600,0,0,0,2.026313758755044e+44,46,0
20200408,003700,0,0,0,2.026313758755044e+44,46,0
20200408,003800,0,0,0,2.026313758755044e+44,45.9,0
20200408,003900,0,0,0,2.026313758755044e+44,45.9,0
20200408,004000,0,0,0,2.026313758755044e+44,45.9,0
20200408,004100,0,0,0,2.026313758755044e+44,45.9,0
20200408,004200,0,0,0,2.026313758755044e+44,45.7,0
20200408,004300,0,0,0,2.026313758755044e+44,45.7,0
20200408,004400,0,0,0,2.026313758755044e+44,45.6,0
20200408,004500,0,0,0,2.026313758755044e+44,45.6,0
20200408,004600,0,0,0,2.026313758755044e+44,46,0
20200408,004700,0,0,0,2.026313758755044e+44,46,0
20200408,004800,0,0,0,2.026313758755044e+44,45.8,0
20200408,004900,0,0,0,2.026313758755044e+44,45.8,0
20200408,005000,0,0,0,2.026313758755044e+44,46,0
20200408,005100,0,0,0,2.026313758755044e+44,46,0
20200408,005200,0,0,0,2.026313758755044e+44,46.3,0
20200408,005300,0,0,0,2.026313758755044e+44,46.3,0
20200408,005400,0,0,0,2.026313758755044e+44,46.2,0
20200408,005500,0,0,0,2.026313758755044e+44,46.2,0
20200408,005600,0,0,0,2.026313758755044e+44,46.2,0
20200408,005700,0,0,0,2.026313758755044e+44,46.4,0
20200408,005800,0,0,0,2.026313758755044e+44,46.5,0
20200408,005900,0,0,0,2.026313758755044e+44,46.5,0
20200408,010000,0,0,0,2.026313758755044e+44,46.4,0
20200408,010100,0,0,0,2.026313758755044e+44,46.4,0
20200408,010200,0,0,0,2.026313758755044e+44,46.4,0
20200408,010300,0,0,0,2.026313758755044e+44,46.3,0
20200408,010400,0,0,0,2.026313758755044e+44,46.2,0
20200408,010500,0,0,0,2.026313758755044e+44,46.2,0
20200408,010600,0,0,0,2.026313758755044e+44,45.9,0
20200408,010700,0,0,0,2.026313758755044e+44,45.9,0
20200408,010800,0,0,0,2.026313758755044e+44,46.2,0
20200408,010900,0,0,0,2.026313758755044e+44,46.4,0
20200408,011000,0,0,0,2.026313758755044e+44,46.4,0
