dia,Vd1,Pd,Nloss,Vd2,m,x_gauss,SR
20191004,0.015320115777504036,1e-6,0,0.015327,0.008501,0.002993,0.883925
20191005,0.02039166463895174,2e-6,0,0.020398,0.021595,0.006594,0.744273
20191006,0.02217990516924061,3e-6,0,0.022186,0.028695,0.00839,0.674623
20191007,0.020385087078572676,4e-6,0,0.020391,0.036785,0.010355,0.598423
20191008,0.020746178658552338,4e-6,0,0.020753,0.043928,0.012035,0.533276
20191009,0.023184614828427402,5e-6,0,0.023191,0.05549,0.01467,0.431103
20191010,0.02738168780135222,7e-6,0,0.027388,0.074821,0.018898,0.267178
20191011,0.02815825666147434,8e-6,0,0.028165,0.087566,0.021592,0.162741
20191012,0.02761094818081577,9e-6,0,0.027617,0.096535,0.023452,0.090642
20191013,0.027428280138108656,1e-5,0,0.027435,0.108388,0.02587,-0.003077
20191014,0.02652642670329246,1.1e-5,0,0.026533,0.114569,0.027114,-0.051288
20191015,0.026336100877382165,1.2e-5,0,0.026343,0.12695,0.029577,-0.146732
20191016,0.025997410342590295,1.3e-5,0,0.026004,0.133005,0.030768,-0.19288
20191017,0.02521502592847931,1.4e-5,0,0.025221,0.144624,0.033031,-0.280555
20191018,0.024429404186870673,1.5e-5,0,0.024436,0.160033,0.035989,-0.395137
20191023,0.02413525064907819,1.6e-5,0,0.024142,0.164959,0.036926,-0.431428
20191024,0.02450594954534094,1.7e-5,0,0.024512,0.175321,0.038882,-0.507177
20191025,0.025045913127071898,1.8e-5,0,0.025052,0.187701,0.041196,-0.596776
20191026,0.024718448288502,1.9e-5,0,0.024725,0.196417,0.042811,-0.659299
20191027,0.02517754049370063,2e-5,0,0.025184,0.207247,0.044803,-0.736406
20191028,0.02609407946303819,2.1e-5,0,0.0261,0.222688,0.047616,-0.845268
20191029,0.026462105744266644,2.3e-5,0,0.026469,0.235046,0.049846,-0.931547
20191030,0.026222869350767106,2.3e-5,0,0.026229,0.243499,0.05136,-0.990114
20191031,0.02669747670868736,2.5e-5,0,0.026704,0.255806,0.053552,-1.074891
20191101,0.026752505707251847,2.5e-5,0,0.026759,0.265771,0.055314,-1.143023
20191102,0.026376814791836647,2.6e-5,0,0.026383,0.273423,0.05666,-1.195061
20191103,0.026500117337586,2.9e-5,0,0.026507,0.301585,0.061568,-1.384741
20191104,0.026700107035200912,3.2e-5,0,0.026707,0.335254,0.067344,-1.607818
20191105,0.027304385065193795,3.8e-5,1e-6,0.027311,0.393216,0.077087,-1.983707
20191106,0.02755441822851069,4e-5,1e-6,0.027561,0.418274,0.081229,-2.14334
20191107,0.026980868764922238,4e-5,1e-6,0.026987,0.421362,0.081737,-2.162911
20191108,0.026644857050439754,4.1e-5,1e-6,0.026651,0.426538,0.082587,-2.195654
20191109,0.02661794553583462,4.2e-5,1e-6,0.026624,0.435464,0.084049,-2.251962
20191110,0.026434060982327652,4.2e-5,1e-6,0.02644,0.438563,0.084556,-2.271485
20191111,0.02610144471368097,4.2e-5,1e-6,0.026108,0.440012,0.084792,-2.280573
20191112,0.026207665842718754,4.3e-5,1e-6,0.026214,0.447374,0.085993,-2.326812
20191113,0.02632328149738402,4.4e-5,1e-6,0.02633,0.457172,0.087586,-2.388129
20191114,0.0257107283569441,4.3e-5,1e-6,0.025717,0.451966,0.08674,-2.355567
20191115,0.02538521866340899,4.3e-5,1e-6,0.025392,0.452447,0.086818,-2.358569
20191116,0.02503409007616459,4.4e-5,1e-6,0.025041,0.456438,0.087467,-2.383549
20191117,0.02501317261691506,4.5e-5,1e-6,0.02502,0.465387,0.088918,-2.439386
20191118,0.025405152200777964,4.6e-5,1e-6,0.025412,0.480351,0.091334,-2.532326
